"id","nomos","unleaded95","unleaded100","motoroil","heatingoil","gas","date","validation","geography","perifereia"
"76821EE9-0CF8-4B86-A171-3733345B74DD",1,2060,2237,1833,1585,1066,"01/05/2022","ΝΟΜΟΣ ΑΤΤΙΚΗΣ","ΣΤ. ΕΛΛΑΔΑ","ΑΤΤΙΚΗ"
"2EA05728-6059-4AF5-B9B0-2DDB42D4DA13",2,2109,2274,1885,1651,1193,"01/05/2022","ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ","ΣΤ. ΕΛΛΑΔΑ","ΔΥΤ. ΕΛΛΑΔΑ"
"BCE5C3E0-9608-46AA-A104-AD3A3349573E",3,2083,2259,1848,1615,1150,"01/05/2022","ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ"
"BE421638-5188-44EC-8B08-745C15F41463",4,2100,2255,1870,1631,1160,"01/05/2022","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ"
"0DD401B4-F2A6-439C-BE47-BD724242B332",5,2087,2276,1843,1591,1168,"01/05/2022","ΝΟΜΟΣ ΑΡΤΗΣ","ΗΠΕΙΡΟΣ","ΗΠΕΙΡΟΣ"
"122D4CB4-0792-4FFE-96E6-939BD3C82732",6,2086,2253,1870,1595,1169,"01/05/2022","ΝΟΜΟΣ ΑΧΑΪΑΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ","ΔΥΤ. ΕΛΛΑΔΑ"
"B4805099-1166-411A-8DE9-E127C9645294",7,2079,2276,1856,1590,1148,"01/05/2022","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤ. ΕΛΛΑΔΑ","ΣΤ. ΕΛΛΑΔΑ"
"384118AF-9B47-4660-B29B-5EAA8E52B335",8,2096,2266,1866,1641,1195,"01/05/2022","ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ","ΜΑΚΕΔΟΝΙΑ","ΔΥΤ. ΜΑΚΕΔΟΝΙΑ"
"285DA36A-7A96-4E7D-BCD0-5CC5F774BE7F",9,2061,2270,1823,1612,1101,"01/05/2022","ΝΟΜΟΣ ΔΡΑΜΑΣ","ΜΑΚΕΔΟΝΙΑ","ΑΝ. ΜΑΚΕΔΟΝΙΑ-ΘΡΑΚΗ"
"A23FC575-9F27-4F8F-B1B7-08EA0D8C3EC0",10,2224,2345,1958,1648,1272,"01/05/2022","ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ","ΑΙΓΑΙΟ","Ν. ΑΙΓΑΙΟ"
"F11B36BE-3125-4B22-A1FD-A6C94D9F6B93",11,2094,2252,1851,1603,1180,"01/05/2022","ΝΟΜΟΣ ΕΒΡΟΥ","ΘΡΑΚΗ","ΑΝ. ΜΑΚΕΔΟΝΙΑ-ΘΡΑΚΗ"
"9BD228FC-CB8A-4F8B-8FC0-F3C0B7ACBEF5",12,2096,2259,1870,1613,1144,"01/05/2022","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤ. ΕΛΛΑΔΑ","ΣΤ. ΕΛΛΑΔΑ"
"B7C0A6BA-71EE-4849-91F5-8D098F08DDCE",13,2194,2367,1936,1673,1180,"01/05/2022","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤ. ΕΛΛΑΔΑ","ΣΤ. ΕΛΛΑΔΑ"
"368C0D85-A935-43F0-B0CA-19B570277B8B",14,2110,2250,1852,1680,1250,"01/05/2022","ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ","ΙΟΝΙΟ","ΙΟΝΙΟ"
"BEC9245A-EEA0-4428-9A58-546E09FDC1EF",15,2089,2199,1852,1586,1143,"01/05/2022","ΝΟΜΟΣ ΗΛΕΙΑΣ","ΠΕΛΕΠΟΝΝΗΣΟΣ","ΔΥΤ. ΕΛΛΑΔΑ"
"237F1D65-474E-40B7-901D-634E190D64E6",16,2058,2213,1820,1604,1078,"01/05/2022","ΝΟΜΟΣ ΗΜΑΘΙΑΣ","ΜΑΚΕΔΟΝΙΑ","ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ"
"2802D1C2-A42A-4CA9-BF26-7B225F37A2D3",17,2129,2259,1900,1647,1203,"01/05/2022","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗ","ΚΡΗΤΗ"
"8F9ABF00-59A7-41C8-B858-0EFCC40E87AF",18,2092,2269,1875,1597,1175,"01/05/2022","ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ","ΗΠΕΙΡΟΣ","ΗΠΕΙΡΟΣ"
"023C85E0-3748-4BCA-84A6-65305134603F",19,2053,2224,1822,1595,1102,"01/05/2022","ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΜΑΚΕΔΟΝΙΑ","ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ"
"BAC795D2-8AB5-4253-B239-39CD12E49AE0",20,2074,2225,1865,1604,1151,"01/05/2022","ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ","ΗΠΕΙΡΟΣ","ΗΠΕΙΡΟΣ"
"447F41BC-910E-4340-B2A7-CA30D167F3BC",21,2086,2227,1853,1617,1163,"01/05/2022","ΝΟΜΟΣ ΚΑΒΑΛΑΣ","ΜΑΚΕΔΟΝΙΑ","ΑΝ. ΜΑΚΕΔΟΝΙΑ-ΘΡΑΚΗ"
"823721D5-F646-4DA0-B3C4-4BFD8192C1CD",22,2071,2220,1850,1602,1131,"01/05/2022","ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ","ΘΕΣΣΑΛΙΑ","ΘΕΣΣΑΛΙΑ"
"7CA00F70-E8E1-40D8-9A3D-B86F48EF4843",23,2095,2250,1856,1615,1088,"01/05/2022","ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ","ΜΑΚΕΔΟΝΙΑ","ΔΥΤ. ΜΑΚΕΔΟΝΙΑ"
"6E0F5EE0-1519-482E-A252-EC464FAFC937",24,2131,2294,1898,1648,1290,"01/05/2022","ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ","ΙΟΝΙΟ","ΙΟΝΙΟ"
"BC1F6AE1-2399-4763-A2D9-4970754AFDC8",25,2157,2343,1914,1599,1260,"01/05/2022","ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ","ΙΟΝΙΟ","ΙΟΝΙΟ"
"A13706E9-1389-40D3-B353-46A33CA344E4",26,2067,2213,1833,1601,1165,"01/05/2022","ΝΟΜΟΣ ΚΙΛΚΙΣ","ΜΑΚΕΔΟΝΙΑ","ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ"
